"sample","value"
"sample_1411",12.65
"sample_1412",13.5
"sample_1413",13.067
"sample_1414",13.333
"sample_1415",15.033
"sample_1416",12.7
"sample_1417",13.3
"sample_1418",13.458
"sample_1419",13.45
"sample_142",12.625
"sample_1420",13.067
"sample_1421",13.75
"sample_1422",9.75
"sample_1423",13.15
"sample_1424",12.733
"sample_1425",12.917
"sample_1426",13.85
"sample_1427",16.333
"sample_1428",13.433
"sample_1429",14.333
"sample_143",12.55
"sample_1430",12.75
"sample_1431",13
"sample_1432",14.867
"sample_1433",10.65
"sample_1434",13.25
"sample_1435",12.95
"sample_1436",11.733
"sample_1437",12.35
"sample_1438",13.333
"sample_1439",14.625
"sample_1440",14.292
"sample_1441",11.5
"sample_1442",10.75
"sample_1443",11.75
"sample_1444",12
"sample_1445",13.4
"sample_1446",11.2
"sample_1447",11.25
"sample_1448",8.667
"sample_1449",11.667
"sample_145",18.067
"sample_1450",12.2
"sample_1451",15.5
"sample_1452",10.25
"sample_1453",12.4
"sample_1454",12.5
"sample_1455",8.75
"sample_1456",8.25
"sample_1457",11.5
"sample_1458",11.8
"sample_1459",12
"sample_146",14.45
"sample_1460",13
"sample_1461",11.75
"sample_1462",15.5
"sample_1463",13.2
"sample_1464",14.75
"sample_1465",10.8
"sample_1466",11
"sample_1467",9.4
"sample_1468",8
"sample_1469",10.4
"sample_147",13.625
"sample_1470",9.8
"sample_1471",10
"sample_1472",14
"sample_1473",12.25
"sample_1474",17.25
"sample_1475",9.2
"sample_1476",9
"sample_1477",11.25
"sample_1478",11.875
"sample_1479",9.917
"sample_148",12.9
"sample_1480",12.375
"sample_1481",12.05
"sample_1482",13.933
"sample_1483",11
"sample_1484",14.833
"sample_1485",13.375
"sample_1486",15.067
"sample_1487",12.75
"sample_1488",12.583
"sample_1489",12.433
"sample_149",12
"sample_1490",14.367
"sample_1491",11.25
"sample_1492",17.083
"sample_1493",13.5
"sample_1494",10.65
"sample_1495",11.5
"sample_1496",13.667
"sample_1497",11.25
"sample_1498",13
"sample_1499",10.5
"sample_15",11.5
"sample_150",11.75
"sample_1500",16.5
"sample_1501",12.292
"sample_1502",12.45
"sample_1503",14.833
"sample_1504",12.625
"sample_1505",13.375
"sample_1506",12.3
"sample_1507",14
"sample_1508",12.7
"sample_1509",12.917
"sample_151",14.3
"sample_1510",12.375
"sample_1511",11.667
"sample_1512",15.583
"sample_1513",13.4
"sample_1514",17
"sample_1515",12.375
"sample_1516",12.167
"sample_1517",13.6
"sample_1518",7.667
"sample_1519",16.433
"sample_152",14.375
"sample_1520",12.5
"sample_1521",12.833
"sample_1522",12.417
"sample_1523",14.458
"sample_1524",14.1
"sample_1525",14.033
"sample_1526",18.167
"sample_1527",16.083
"sample_1528",13.35
"sample_1529",12.333
"sample_153",13.65
"sample_1530",13.333
"sample_1531",12.292
"sample_1532",14.533
"sample_1533",10.15
"sample_1534",12.75
"sample_1535",12.3
"sample_1536",14.367
"sample_1537",13.95
"sample_1538",13.15
"sample_1539",12.6
"sample_154",12.65
"sample_1540",13.3
"sample_1541",21.875
"sample_1542",13.867
"sample_1543",14.233
"sample_1544",11.5
"sample_1545",16
"sample_1546",13.667
"sample_1547",13.8
"sample_1548",11.35
"sample_1549",11.75
"sample_155",14.15
"sample_1550",12.25
"sample_1551",15.567
"sample_1552",15.65
"sample_1553",15.45
"sample_1554",14.5
"sample_1555",19.375
"sample_1556",15.25
"sample_1557",12.7
"sample_1558",14.875
"sample_1559",15.542
"sample_156",13.375
"sample_1560",14
"sample_1561",14.633
"sample_1562",14
"sample_1563",12.333
"sample_1564",13.667
"sample_1565",11.667
"sample_1566",15.875
"sample_1567",16.625
"sample_1568",13.833
"sample_1569",12.875
"sample_157",13.667
"sample_1570",14.375
"sample_1571",12
"sample_1572",14.167
"sample_1573",13.567
"sample_1574",12.417
"sample_1575",14.867
"sample_1576",13.625
"sample_1577",14.583
"sample_1578",12.367
"sample_1579",15.533
"sample_158",10.583
"sample_1580",13.35
"sample_1581",11.875
"sample_1582",13.8
"sample_1583",13.133
"sample_1584",13.75
"sample_1585",20.833
"sample_1586",13.375
"sample_1587",13.033
"sample_1588",14.933
"sample_1589",11.5
"sample_159",14.6
"sample_1590",11.65
"sample_1591",12.033
"sample_1592",11.875
"sample_1593",14
"sample_1594",10.875
"sample_1595",13.4
"sample_1596",14.167
"sample_1597",12
"sample_1598",12.45
"sample_1599",13.5
"sample_16",16.417
"sample_160",12.967
"sample_1600",14.25
"sample_1601",12.9
"sample_1602",13.867
"sample_1603",10.65
"sample_1604",16.292
"sample_1605",12.45
"sample_1606",18.125
"sample_1607",15.75
"sample_1608",14.133
"sample_1609",12.667
"sample_161",15.5
"sample_1610",13.2
"sample_1611",15.167
"sample_1612",12.75
"sample_1613",16.5
"sample_1614",13.167
"sample_1615",13.5
"sample_1616",14.233
"sample_1617",17
"sample_1618",14.1
"sample_1619",15.625
"sample_162",16.75
"sample_1620",12.375
"sample_1621",12.6
"sample_1622",11.75
"sample_1623",13
"sample_1624",12.4
"sample_1625",13.25
"sample_1626",12
"sample_1627",12.6
"sample_1628",12
"sample_1629",11.75
"sample_163",14.833
"sample_1630",11.5
"sample_1631",13.667
"sample_1632",12.75
"sample_1633",12.6
"sample_1634",12.333
"sample_1635",12.5
"sample_1636",12
"sample_1637",15.4
"sample_1638",13.5
"sample_1639",15
"sample_164",15.625
"sample_1640",15.5
"sample_1641",11.75
"sample_1642",10.6
"sample_1643",13.6
"sample_1644",16.667
"sample_1645",14.4
"sample_1646",13.25
"sample_1647",12.75
"sample_1648",13
"sample_1649",11.25
"sample_165",15.75
"sample_1650",16.2
"sample_1651",12.5
"sample_1652",10.333
"sample_1653",13.75
"sample_1654",11.25
"sample_1655",12.2
"sample_1656",12.2
"sample_1657",12.233
"sample_1658",14.125
"sample_1659",13.033
"sample_166",20.833
"sample_1660",13.933
"sample_1661",12.15
"sample_1662",11.65
"sample_1663",13.375
"sample_1664",12.767
"sample_1665",10.35
"sample_1666",12.125
"sample_1667",13.767
"sample_1668",13.583
"sample_1669",12.083
"sample_167",13.25
"sample_1670",12.167
"sample_1671",11.542
"sample_1672",13.458
"sample_1673",13.208
"sample_1674",16.792
"sample_1675",13.233
"sample_1676",16.417
"sample_1677",9
"sample_1678",13.625
"sample_1679",13.4
"sample_168",17.133
"sample_1680",14.167
"sample_1681",11.125
"sample_1682",15.167
"sample_1683",12.367
"sample_1684",12.792
"sample_1685",13.375
"sample_1686",15.375
"sample_1687",14.45
"sample_1688",12.35
"sample_1689",13.25
"sample_169",14.667
"sample_1690",13.967
"sample_1691",12.917
"sample_1692",13.25
"sample_1693",11.625
"sample_1694",12.767
"sample_1695",12.15
"sample_1696",13.167
"sample_1697",9.875
"sample_1698",11.625
"sample_1699",11.292
"sample_17",13.5
"sample_170",13.05
"sample_1700",10.4
"sample_1701",10.583
"sample_1702",14
"sample_1703",13.167
"sample_1704",18.4
"sample_1706",16.75
"sample_1707",12.7
"sample_1708",12.375
"sample_1709",11.75
"sample_171",16
"sample_1710",12.367
"sample_1711",13.167
"sample_1712",13.125
"sample_1713",12.35
"sample_1714",12.125
"sample_1715",15.125
"sample_1716",11.833
"sample_1717",13.3
"sample_1718",13
"sample_1719",14.208
"sample_172",15.5
"sample_1720",13.25
"sample_1721",14.667
"sample_1722",13.567
"sample_1723",15.333
"sample_1724",10.35
"sample_1725",12.875
"sample_1726",13.133
"sample_1727",14.233
"sample_1728",11.375
"sample_1729",11.15
"sample_173",13.042
"sample_1730",12.4
"sample_1731",15.7
"sample_1732",18.958
"sample_1733",17.833
"sample_1734",20.667
"sample_1735",20.5
"sample_1736",17
"sample_1737",22.5
"sample_1738",16.542
"sample_1739",14.45
"sample_174",11.917
"sample_1740",17.7
"sample_1741",16.25
"sample_1742",10.417
"sample_1743",16
"sample_1744",15.5
"sample_1745",11
"sample_1746",15.25
"sample_1747",14.85
"sample_1748",14.7
"sample_1749",14.833
"sample_175",11.55
"sample_1750",26.25
"sample_1751",18
"sample_1752",16.375
"sample_1753",14.367
"sample_1754",14.542
"sample_1755",16
"sample_1756",12.958
"sample_1757",13.5
"sample_1758",18.5
"sample_1759",13.833
"sample_176",12.375
"sample_1760",16
"sample_1761",14.375
"sample_1762",16.917
"sample_1763",20.167
"sample_1764",26.5
"sample_1765",16.625
"sample_1766",12.75
"sample_1767",16.167
"sample_1768",16.833
"sample_1769",17.533
"sample_177",13.2
"sample_1770",16
"sample_1771",16.083
"sample_1772",14.333
"sample_1773",13.875
"sample_1774",14.333
"sample_1775",12.95
"sample_1776",13.2
"sample_1777",12.333
"sample_1778",12.967
"sample_1779",13.417
"sample_178",11.583
"sample_1780",17.5
"sample_1781",14.167
"sample_1782",20.5
"sample_1783",13.5
"sample_1784",12.833
"sample_1785",12.5
"sample_1786",15.533
"sample_1787",16.667
"sample_1788",14.417
"sample_1789",13.55
"sample_179",14
"sample_1790",18.833
"sample_1791",15.958
"sample_1792",20.2
"sample_1793",12.8
"sample_1794",26.5
"sample_1795",28
"sample_1796",12.05
"sample_1797",16.3
"sample_1798",16.375
"sample_1799",15.25
"sample_18",13.75
"sample_180",12.25
"sample_1800",18.267
"sample_1801",15.375
"sample_1802",14.583
"sample_1803",15
"sample_1804",15.15
"sample_1805",17
"sample_1807",16.15
"sample_1808",15
"sample_1809",10.25
"sample_181",16
"sample_1810",13.875
"sample_1811",14.667
"sample_1812",11.375
"sample_1813",17.733
"sample_1814",15.667
"sample_1815",14.125
"sample_1816",13.75
"sample_1817",14.292
"sample_1818",13.75
"sample_1819",13.333
"sample_182",12.125
"sample_1820",14.833
"sample_1821",16.867
"sample_1822",16.65
"sample_1823",18.083
"sample_1824",16.167
"sample_1825",13
"sample_1826",21
"sample_1827",17.6
"sample_1828",15.167
"sample_1829",13.375
"sample_183",14.167
"sample_1830",15.042
"sample_1831",16.333
"sample_1832",11.083
"sample_1833",16
"sample_1834",14.583
"sample_1835",13.375
"sample_1836",10.625
"sample_1837",15
"sample_1838",15.792
"sample_1839",12.625
"sample_184",13.375
"sample_1840",14.333
"sample_1841",15.633
"sample_1842",15.125
"sample_1843",14.25
"sample_1844",15
"sample_1845",14.667
"sample_1846",14.6
"sample_1847",15.633
"sample_1848",16.3
"sample_1849",17.375
"sample_185",13.433
"sample_1850",15.25
"sample_1851",13.375
"sample_1852",17
"sample_1853",14.35
"sample_1854",12
"sample_1856",13.65
"sample_1857",10.75
"sample_1858",16.458
"sample_1859",15.125
"sample_186",12.833
"sample_1860",15
"sample_1861",14.625
"sample_1862",14.85
"sample_1863",14.333
"sample_1864",13.125
"sample_1865",13
"sample_1867",10.625
"sample_1868",11.167
"sample_1869",11.083
"sample_187",15.833
"sample_1870",17.417
"sample_1871",10.75
"sample_1872",15.25
"sample_1873",11.833
"sample_1874",13.583
"sample_1875",15.167
"sample_1876",12.75
"sample_1877",17.042
"sample_1878",16.267
"sample_1879",15.55
"sample_188",12.125
"sample_1880",20.417
"sample_1881",13.05
"sample_1882",14.25
"sample_1883",13.6
"sample_1884",13.95
"sample_1885",16.125
"sample_1886",18
"sample_1887",16.083
"sample_1888",13.5
"sample_1889",17.5
"sample_189",12
"sample_1890",14.833
"sample_1891",13.75
"sample_1892",13.333
"sample_1893",14.625
"sample_1894",11.7
"sample_1895",14.375
"sample_1896",15.875
"sample_1897",9.667
"sample_1898",13.433
"sample_1899",15.25
"sample_19",14.208
"sample_190",13.4
"sample_1900",14.5
"sample_1901",15.5
"sample_1902",18.5
"sample_1903",15.5
"sample_1904",15.333
"sample_1905",9.6
"sample_1906",13.875
"sample_1907",15.9
"sample_1908",13.667
"sample_1909",11.083
"sample_191",11.5
"sample_1910",13.5
"sample_1911",14.5
"sample_1912",15.083
"sample_1913",15.333
"sample_1914",14.05
"sample_1915",13.5
"sample_1916",13.375
"sample_1917",18.25
"sample_1918",15.2
"sample_1919",9.75
"sample_192",11.792
"sample_1921",25.5
"sample_1922",25.333
"sample_1923",18.75
"sample_1924",18.833
"sample_1925",12
"sample_1926",20
"sample_1927",16.125
"sample_1928",16
"sample_1929",17
"sample_193",12.5
"sample_1930",11.833
"sample_1931",18
"sample_1932",12.767
"sample_1933",10.8
"sample_1934",14.75
"sample_1935",16.375
"sample_1936",17.5
"sample_1937",17
"sample_1938",15.875
"sample_1939",15.375
"sample_194",12.033
"sample_1940",19
"sample_1941",14.267
"sample_1942",14.625
"sample_1943",16.5
"sample_1944",15.5
"sample_1945",13.75
"sample_1946",14.875
"sample_1947",13.75
"sample_1948",14.667
"sample_1949",19.667
"sample_195",14.167
"sample_1950",13.875
"sample_1951",11.75
"sample_1952",11.875
"sample_1953",16.375
"sample_1954",13.375
"sample_1955",14.65
"sample_1956",12
"sample_1957",13.8
"sample_1958",16
"sample_1959",13.667
"sample_196",14.542
"sample_1960",21.4
"sample_1962",13.917
"sample_1963",16.458
"sample_1964",14.567
"sample_1965",14.75
"sample_1966",13.958
"sample_1967",15.5
"sample_1968",13.75
"sample_1969",20.333
"sample_197",14.125
"sample_1970",15.167
"sample_1971",14.8
"sample_1972",13.3
"sample_1973",18.708
"sample_1974",15.5
"sample_1975",14.875
"sample_1976",20.5
"sample_1977",14.6
"sample_1978",20
"sample_1979",14.85
"sample_198",12.625
"sample_1980",14.833
"sample_1981",17.917
"sample_1982",16.45
"sample_1984",18.5
"sample_1985",17
"sample_1986",22.667
"sample_1987",15.533
"sample_1988",21.667
"sample_1989",18
"sample_199",12.533
"sample_1990",14.667
"sample_1991",18.667
"sample_1992",12.5
"sample_1993",18.667
"sample_1994",15.5
"sample_1995",14.667
"sample_1996",14.633
"sample_1997",16.458
"sample_1998",19.25
"sample_2",15.6
"sample_20",12.25
"sample_200",12
"sample_201",12.75
"sample_202",12.75
"sample_203",19.292
"sample_204",12.875
"sample_205",11.25
"sample_206",10.7
"sample_207",10.875
"sample_208",10.25
"sample_209",12.25
"sample_21",14.5
"sample_210",13.2
"sample_211",13.9
"sample_212",11.5
"sample_213",11.5
"sample_214",12.833
"sample_215",11.9
"sample_216",13.533
"sample_217",11.125
"sample_218",12.667
"sample_219",11.95
"sample_22",12.25
"sample_220",11.667
"sample_221",13.708
"sample_222",13.167
"sample_223",13
"sample_224",12
"sample_225",12.625
"sample_226",18.5
"sample_227",10.375
"sample_228",11.7
"sample_229",12.667
"sample_23",11.167
"sample_230",17.167
"sample_231",12.35
"sample_232",11.8
"sample_233",13.633
"sample_234",12.958
"sample_235",14.333
"sample_236",10.35
"sample_237",11.25
"sample_238",13.25
"sample_239",13.467
"sample_240",14.3
"sample_241",14.4
"sample_242",15.2
"sample_243",13.5
"sample_244",11.625
"sample_245",11.467
"sample_246",12.3
"sample_247",11.75
"sample_248",11.5
"sample_249",10.55
"sample_25",10.95
"sample_250",11.875
"sample_251",11.1
"sample_252",10.583
"sample_253",10.25
"sample_254",11.625
"sample_255",13.833
"sample_256",10.125
"sample_257",12.9
"sample_258",13.967
"sample_259",10.133
"sample_26",10
"sample_260",12.833
"sample_261",11.5
"sample_262",14.35
"sample_263",12.417
"sample_264",14.375
"sample_265",12.667
"sample_266",11.75
"sample_267",11.833
"sample_268",13.375
"sample_269",13.5
"sample_27",12.5
"sample_270",12.875
"sample_271",14.4
"sample_272",12.85
"sample_273",13.875
"sample_274",12.5
"sample_275",14.75
"sample_276",12.625
"sample_277",12.2
"sample_278",13.375
"sample_279",15.333
"sample_28",13.208
"sample_280",13
"sample_281",13.25
"sample_282",15.25
"sample_283",11.433
"sample_284",12.25
"sample_285",11.125
"sample_286",17.75
"sample_287",14.6
"sample_288",13.75
"sample_289",15.125
"sample_29",12.367
"sample_290",11.875
"sample_291",12.417
"sample_292",11.75
"sample_293",12.125
"sample_294",12.417
"sample_295",14.667
"sample_296",12.95
"sample_297",13.375
"sample_298",13.125
"sample_299",18.375
"sample_3",14.208
"sample_30",11.25
"sample_300",12.875
"sample_301",14.167
"sample_302",12.375
"sample_303",13.333
"sample_304",12.1
"sample_305",13.292
"sample_306",14.333
"sample_307",13
"sample_308",12.375
"sample_309",14.567
"sample_31",12.375
"sample_310",11.15
"sample_311",15
"sample_312",13.067
"sample_313",11.125
"sample_314",11.417
"sample_315",12.967
"sample_316",14.083
"sample_317",11.433
"sample_318",12.833
"sample_319",11.8
"sample_32",13.3
"sample_320",15.25
"sample_321",13.267
"sample_322",13.15
"sample_323",14.417
"sample_324",12.15
"sample_325",12.917
"sample_326",10.75
"sample_327",15.208
"sample_328",11.375
"sample_329",11.5
"sample_33",15.75
"sample_330",12.6
"sample_331",12.8
"sample_332",12.833
"sample_333",12.875
"sample_334",15
"sample_335",12.9
"sample_336",13.667
"sample_337",11.3
"sample_338",10.85
"sample_339",11.5
"sample_34",13.875
"sample_340",12
"sample_341",10.933
"sample_342",13.292
"sample_343",15
"sample_344",12.958
"sample_345",13.333
"sample_346",20.4
"sample_347",11.45
"sample_348",16
"sample_349",15.5
"sample_35",13.1
"sample_350",15.708
"sample_351",16.875
"sample_352",14.75
"sample_353",14.65
"sample_354",12.875
"sample_355",11.75
"sample_356",13.467
"sample_357",13.45
"sample_358",17.067
"sample_359",11.95
"sample_36",14
"sample_360",15.5
"sample_361",15.125
"sample_362",13.125
"sample_363",15.333
"sample_364",13.375
"sample_365",11.75
"sample_366",12.208
"sample_367",12.55
"sample_368",11.55
"sample_369",14.15
"sample_37",12.375
"sample_370",14.917
"sample_371",12.958
"sample_372",11.625
"sample_373",13.417
"sample_374",14
"sample_375",11.625
"sample_376",11.05
"sample_378",13.208
"sample_379",11
"sample_38",13.583
"sample_380",13.375
"sample_381",13.25
"sample_382",13.35
"sample_383",11.917
"sample_384",11.4
"sample_385",11.25
"sample_386",11.875
"sample_387",11
"sample_388",16
"sample_389",11.75
"sample_39",13.2
"sample_390",13.667
"sample_391",11.633
"sample_392",11.5
"sample_393",11.7
"sample_394",14.15
"sample_395",11.875
"sample_396",11.75
"sample_397",14.733
"sample_398",15.5
"sample_399",12.625
"sample_4",14.25
"sample_40",12.467
"sample_400",14.2
"sample_401",11.35
"sample_402",14.233
"sample_403",14.875
"sample_404",12.833
